order_id,store_id,region,order_datetime,promised_ready_datetime,actual_ready_datetime,pickup_datetime,items_ordered,items_fulfilled,substitution_count,is_complete,order_value
ORD-20256980,GS-07,South,2025-11-02 09:08:00,2025-11-02 10:23:00,2025-11-02 10:29:00,2025-11-02 10:42:00,15,13,1,False,144.58
ORD-20252734,GS-11,East,2025-11-02 09:45:00,2025-11-02 11:15:00,2025-11-02 11:20:00,,3,3,1,False,45.45
ORD-20258461,GS-01,North,2025-11-02 09:55:00,2025-11-02 11:10:00,2025-11-02 11:14:00,2025-11-02 11:35:00,20,20,0,True,185.61
ORD-20257075,GS-12,West,2025-11-02 10:00:00,2025-11-02 11:15:00,2025-11-02 11:23:00,,3,3,0,True,21.95
ORD-20251976,GS-08,South,2025-11-02 10:32:00,2025-11-02 12:17:00,2025-11-02 12:29:00,2025-11-02 13:41:00,15,15,0,True,142.79
ORD-20251189,GS-07,South,2025-11-02 10:51:00,2025-11-02 12:36:00,2025-11-02 12:36:00,2025-11-02 13:53:00,25,24,0,False,422.5
ORD-20255336,GS-06,Central,2025-11-02 10:51:00,2025-11-02 12:51:00,2025-11-02 12:59:00,2025-11-02 14:11:00,15,14,0,False,212.48
ORD-20257239,GS-09,South,2025-11-02 10:53:00,2025-11-02 12:08:00,2025-11-02 12:14:00,2025-11-02 12:26:00,8,7,0,False,89.85
ORD-20251464,GS-02,North,2025-11-02 11:46:00,2025-11-02 13:01:00,2025-11-02 13:01:00,2025-11-02 13:47:00,8,7,2,False,142.47
ORD-20256039,GS-03,North,2025-11-02 12:22:00,2025-11-02 13:52:00,2025-11-02 14:05:00,2025-11-02 14:10:00,8,8,0,True,96.03
ORD-20256701,GS-03,North,2025-11-02 12:24:00,2025-11-02 14:24:00,2025-11-02 14:26:00,2025-11-02 15:04:00,15,15,0,True,234.95
ORD-20255699,GS-03,North,2025-11-02 12:43:00,2025-11-02 14:43:00,2025-11-02 15:03:00,2025-11-02 15:43:00,8,8,1,False,62.48
ORD-20255118,GS-02,North,2025-11-02 13:02:00,2025-11-02 14:17:00,2025-11-02 14:23:00,2025-11-02 14:47:00,12,11,0,False,214.47
ORD-20255000,GS-05,Central,2025-11-02 13:07:00,2025-11-02 14:37:00,2025-11-02 14:46:00,2025-11-02 15:30:00,12,11,2,False,104.04
ORD-20255151,GS-07,South,2025-11-02 13:25:00,2025-11-02 14:55:00,2025-11-02 15:09:00,2025-11-02 15:55:00,12,12,0,True,150.69
ORD-20257514,GS-03,North,2025-11-02 13:54:00,2025-11-02 15:09:00,2025-11-02 15:09:00,2025-11-02 15:41:00,25,25,0,True,137.46
ORD-20257922,GS-03,North,2025-11-02 15:02:00,2025-11-02 16:02:00,2025-11-02 16:06:00,2025-11-02 16:27:00,3,3,0,True,18.02
ORD-20253485,GS-01,North,2025-11-02 15:10:00,2025-11-02 17:10:00,2025-11-02 17:13:00,2025-11-02 18:06:00,8,8,0,True,121.29
ORD-20251855,GS-04,Central,2025-11-02 15:21:00,2025-11-02 16:21:00,2025-11-02 16:30:00,2025-11-02 17:12:00,5,5,0,True,41.76
ORD-20250655,GS-01,North,2025-11-02 15:25:00,2025-11-02 17:25:00,2025-11-02 17:32:00,2025-11-02 18:11:00,15,15,0,True,249.42
ORD-20255649,GS-06,Central,2025-11-02 15:36:00,2025-11-02 16:36:00,2025-11-02 16:54:00,2025-11-02 17:20:00,25,22,4,False,199.47
ORD-20255670,GS-01,North,2025-11-02 15:50:00,2025-11-02 16:50:00,2025-11-02 16:54:00,2025-11-02 17:42:00,5,5,0,True,38.62
ORD-20254248,GS-06,Central,2025-11-02 16:19:00,2025-11-02 18:04:00,2025-11-02 18:14:00,2025-11-02 18:40:00,3,3,0,True,28.89
ORD-20252006,GS-05,Central,2025-11-02 16:24:00,2025-11-02 17:24:00,2025-11-02 17:44:00,,15,14,0,False,71.12
ORD-20255750,GS-12,West,2025-11-02 16:29:00,2025-11-02 17:44:00,2025-11-02 17:59:00,2025-11-02 18:40:00,12,12,0,True,152.73
ORD-20252955,GS-08,South,2025-11-02 16:36:00,2025-11-02 17:36:00,2025-11-02 17:42:00,2025-11-02 17:47:00,8,8,0,True,91.63
ORD-20250649,GS-09,South,2025-11-02 16:39:00,2025-11-02 17:39:00,2025-11-02 18:20:00,2025-11-02 19:14:00,15,13,0,False,233.03
ORD-20256456,GS-08,South,2025-11-02 16:41:00,2025-11-02 18:11:00,2025-11-02 18:23:00,2025-11-02 18:28:00,15,14,0,False,184.22
ORD-20250003,GS-05,Central,2025-11-02 17:10:00,2025-11-02 18:55:00,2025-11-02 19:06:00,2025-11-02 19:11:00,8,8,0,True,51.07
ORD-20256522,GS-05,Central,2025-11-02 17:13:00,2025-11-02 18:58:00,2025-11-02 19:13:00,,20,17,0,False,251.92
ORD-20255681,GS-05,Central,2025-11-02 17:16:00,2025-11-02 18:46:00,2025-11-02 19:00:00,2025-11-02 19:20:00,12,11,0,False,87.66
ORD-20252825,GS-01,North,2025-11-02 17:34:00,2025-11-02 18:34:00,2025-11-02 18:34:00,2025-11-02 19:06:00,8,7,0,False,113.4
ORD-20251456,GS-12,West,2025-11-02 17:44:00,2025-11-02 19:44:00,2025-11-02 20:06:00,2025-11-02 20:28:00,12,11,0,False,122.6
ORD-20255893,GS-06,Central,2025-11-02 17:52:00,2025-11-02 19:07:00,2025-11-02 19:07:00,2025-11-02 19:15:00,8,7,0,False,111.67
ORD-20258441,GS-11,East,2025-11-02 17:57:00,2025-11-02 19:57:00,2025-11-02 20:14:00,2025-11-02 20:19:00,12,12,2,False,148.68
ORD-20253474,GS-03,North,2025-11-02 18:01:00,2025-11-02 19:31:00,2025-11-02 19:31:00,2025-11-02 19:36:00,12,11,0,False,150.12
ORD-20256220,GS-07,South,2025-11-02 18:09:00,2025-11-02 19:09:00,2025-11-02 19:09:00,2025-11-02 19:59:00,15,14,2,False,227.31
ORD-20254041,GS-04,Central,2025-11-02 18:49:00,2025-11-02 20:04:00,2025-11-02 20:26:00,,15,13,0,False,215.5
ORD-20251627,GS-10,East,2025-11-02 19:18:00,2025-11-02 20:33:00,2025-11-02 20:36:00,2025-11-02 21:03:00,20,19,0,False,275.43
ORD-20252491,GS-12,West,2025-11-02 19:31:00,2025-11-02 20:46:00,2025-11-02 20:51:00,2025-11-02 21:36:00,5,4,0,False,34.74
ORD-20253469,GS-03,North,2025-11-02 20:15:00,2025-11-02 21:45:00,2025-11-02 21:45:00,,5,5,0,True,72.77
ORD-20257785,GS-12,West,2025-11-02 20:21:00,2025-11-02 22:06:00,2025-11-02 22:08:00,2025-11-02 22:24:00,3,3,0,True,48.58
ORD-20251633,GS-09,South,2025-11-02 20:55:00,2025-11-02 21:55:00,2025-11-02 21:55:00,2025-11-02 22:56:00,20,17,0,False,161.81
ORD-20255022,GS-09,South,2025-11-02 21:07:00,2025-11-02 22:52:00,2025-11-02 23:30:00,2025-11-02 23:35:00,12,10,0,False,198.1
ORD-20250752,GS-05,Central,2025-11-03 00:52:00,2025-11-03 02:07:00,2025-11-03 02:21:00,2025-11-03 02:40:00,15,14,0,False,234.83
ORD-20252550,GS-09,South,2025-11-03 01:11:00,2025-11-03 02:26:00,2025-11-03 02:37:00,2025-11-03 03:39:00,20,18,0,False,237.5
ORD-20257002,GS-12,West,2025-11-03 02:35:00,2025-11-03 04:05:00,2025-11-03 04:18:00,2025-11-03 04:50:00,12,12,0,True,215.8
ORD-20258279,GS-09,South,2025-11-03 02:39:00,2025-11-03 04:39:00,2025-11-03 04:49:00,2025-11-03 05:53:00,12,11,0,False,179.97
ORD-20258128,GS-04,Central,2025-11-03 03:42:00,2025-11-03 04:57:00,2025-11-03 05:13:00,2025-11-03 06:14:00,30,26,0,False,537.4
ORD-20256121,GS-12,West,2025-11-03 03:45:00,2025-11-03 05:15:00,2025-11-03 05:15:00,2025-11-03 06:37:00,5,5,0,True,54.63
ORD-20251383,GS-02,North,2025-11-03 06:48:00,2025-11-03 07:48:00,2025-11-03 08:01:00,2025-11-03 08:48:00,5,4,0,False,54.12
ORD-20257014,GS-03,North,2025-11-03 08:00:00,2025-11-03 09:30:00,2025-11-03 09:36:00,2025-11-03 10:03:00,15,14,0,False,79.99
ORD-20251422,GS-06,Central,2025-11-03 08:05:00,2025-11-03 09:05:00,2025-11-03 09:21:00,2025-11-03 09:33:00,3,3,0,True,51.41
ORD-20253101,GS-04,Central,2025-11-03 08:08:00,2025-11-03 09:38:00,2025-11-03 09:59:00,2025-11-03 11:01:00,8,7,0,False,100.29
ORD-20255969,GS-12,West,2025-11-03 08:24:00,2025-11-03 09:39:00,2025-11-03 09:50:00,2025-11-03 10:44:00,12,11,0,False,215.44
ORD-20256928,GS-02,North,2025-11-03 08:55:00,2025-11-03 10:40:00,2025-11-03 10:52:00,2025-11-03 11:33:00,12,11,0,False,183.07
ORD-20250463,GS-12,West,2025-11-03 09:22:00,2025-11-03 11:22:00,2025-11-03 11:32:00,2025-11-03 11:44:00,15,15,0,True,147.51
ORD-20257460,GS-06,Central,2025-11-03 09:23:00,2025-11-03 11:23:00,2025-11-03 11:35:00,2025-11-03 12:22:00,5,5,0,True,38.59
ORD-20251880,GS-06,Central,2025-11-03 09:30:00,2025-11-03 11:00:00,2025-11-03 11:03:00,2025-11-03 11:50:00,12,12,0,True,176.72
ORD-20255291,GS-10,East,2025-11-03 09:55:00,2025-11-03 11:40:00,2025-11-03 11:54:00,2025-11-03 12:19:00,8,8,0,True,55.16
ORD-20251621,GS-02,North,2025-11-03 10:00:00,2025-11-03 11:30:00,2025-11-03 11:41:00,2025-11-03 11:46:00,5,5,0,True,86.11
ORD-20258061,,South,2025-11-03 11:00:00,2025-11-03 13:00:00,2025-11-03 13:39:00,2025-11-03 15:17:00,5,4,0,False,32.4
ORD-20253595,GS-03,North,2025-11-03 11:25:00,2025-11-03 12:25:00,2025-11-03 12:27:00,2025-11-03 12:33:00,12,10,0,False,197.22
ORD-20254051,GS-01,North,2025-11-03 12:05:00,2025-11-03 13:20:00,2025-11-03 13:25:00,2025-11-03 14:09:00,25,23,0,False,150.12
ORD-20256667,GS-12,West,2025-11-03 12:06:00,2025-11-03 14:06:00,2025-11-03 14:08:00,,12,11,0,False,149.3
ORD-20251268,GS-10,East,2025-11-03 12:29:00,2025-11-03 14:14:00,2025-11-03 14:29:00,2025-11-03 14:59:00,8,8,0,True,101.45
ORD-20254215,GS-02,North,2025-11-03 12:31:00,2025-11-03 13:46:00,2025-11-03 14:08:00,2025-11-03 14:57:00,8,8,0,True,93.38
ORD-20250043,GS-02,North,2025-11-03 12:36:00,2025-11-03 13:36:00,2025-11-03 13:46:00,2025-11-03 13:51:00,25,24,0,False,145.3
ORD-20251128,GS-02,North,2025-11-03 12:55:00,2025-11-03 14:25:00,2025-11-03 14:33:00,2025-11-03 15:49:00,12,11,0,False,102.43
ORD-20255285,GS-09,South,2025-11-03 13:04:00,2025-11-03 14:04:00,2025-11-03 14:10:00,2025-11-03 14:19:00,8,7,0,False,90.56
ORD-20258081,GS-09,South,2025-11-03 13:12:00,2025-11-03 15:12:00,2025-11-03 15:26:00,,15,11,0,False,251.47
ORD-20257112,GS-09,South,2025-11-03 13:24:00,2025-11-03 14:54:00,2025-11-03 14:58:00,2025-11-03 15:40:00,8,8,2,False,51.79
ORD-20257515,GS-07,South,2025-11-03 15:39:00,2025-11-03 16:39:00,2025-11-03 16:42:00,2025-11-03 17:05:00,12,12,0,True,161.21
ORD-20253391,GS-06,Central,2025-11-03 16:04:00,2025-11-03 17:19:00,2025-11-03 17:24:00,2025-11-03 17:53:00,8,8,0,True,101.98
ORD-20257293,GS-12,West,2025-11-03 16:08:00,2025-11-03 17:53:00,2025-11-03 18:03:00,2025-11-03 18:51:00,20,18,0,False,182.17
ORD-20252820,GS-01,North,2025-11-03 16:43:00,2025-11-03 18:28:00,2025-11-03 18:31:00,2025-11-03 18:36:00,5,5,0,True,68.65
ORD-20257468,GS-06,Central,2025-11-03 16:44:00,2025-11-03 18:29:00,2025-11-03 18:46:00,2025-11-03 19:45:00,15,15,0,True,204.74
ORD-20252181,GS-10,East,2025-11-03 17:01:00,2025-11-03 18:31:00,2025-11-03 18:31:00,2025-11-03 19:48:00,3,3,0,True,13.55
ORD-20257693,GS-08,South,2025-11-03 17:09:00,2025-11-03 18:24:00,2025-11-03 18:42:00,2025-11-03 19:40:00,3,3,0,True,28.99
ORD-20253188,GS-06,Central,2025-11-03 17:10:00,2025-11-03 19:10:00,2025-11-03 19:32:00,2025-11-03 19:37:00,5,4,0,False,36.78
ORD-20254880,GS-09,South,2025-11-03 18:02:00,2025-11-03 19:17:00,2025-11-03 19:57:00,2025-11-03 20:28:00,8,6,0,False,108.31
ORD-20255810,GS-09,South,2025-11-03 18:34:00,2025-11-03 19:49:00,2025-11-03 20:22:00,2025-11-03 21:04:00,25,21,0,False,447.95
ORD-20253130,GS-03,North,2025-11-03 18:39:00,2025-11-03 20:24:00,2025-11-03 20:36:00,2025-11-03 21:15:00,5,5,0,True,77.09
ORD-20250591,GS-01,North,2025-11-03 18:42:00,2025-11-03 19:57:00,2025-11-03 20:07:00,2025-11-03 20:57:00,20,19,0,False,125.12
ORD-20251548,GS-05,Central,2025-11-03 21:48:00,2025-11-03 23:18:00,2025-11-03 23:43:00,2025-11-04 00:39:00,20,19,0,False,148.22
ORD-20255497,GS-03,North,2025-11-03 23:20:00,2025-11-04 00:35:00,2025-11-04 00:43:00,2025-11-04 01:16:00,12,12,0,True,77.04
ORD-20250368,GS-07,South,2025-11-04 01:46:00,2025-11-04 03:16:00,2025-11-04 03:23:00,2025-11-04 04:30:00,12,11,0,False,111.96
ORD-20253343,GS-11,East,2025-11-04 07:13:00,2025-11-04 08:43:00,2025-11-04 08:52:00,2025-11-04 09:38:00,8,7,0,False,85.28
ORD-20251040,GS-03,North,2025-11-04 08:18:00,2025-11-04 09:48:00,2025-11-04 09:58:00,2025-11-04 10:35:00,12,10,0,False,134.83
ORD-20252967,GS-12,West,2025-11-04 08:40:00,2025-11-04 09:55:00,2025-11-04 10:01:00,2025-11-04 10:06:00,25,22,0,False,353.87
ORD-20258329,GS-09,South,2025-11-04 09:24:00,2025-11-04 10:39:00,2025-11-04 10:53:00,2025-11-04 12:10:00,5,4,0,False,30.56
ORD-20254735,GS-08,South,2025-11-04 09:33:00,2025-11-04 11:18:00,2025-11-04 11:18:00,2025-11-04 11:25:00,15,13,0,False,266.03
ORD-20257178,GS-02,North,2025-11-04 09:34:00,2025-11-04 11:04:00,2025-11-04 11:06:00,,8,8,0,True,107.99
ORD-20252928,GS-05,Central,2025-11-04 09:57:00,2025-11-04 11:57:00,2025-11-04 12:14:00,2025-11-04 12:35:00,25,23,0,False,350.73
ORD-20252945,GS-04,Central,2025-11-04 09:57:00,2025-11-04 10:57:00,2025-11-04 11:34:00,2025-11-04 12:09:00,15,14,0,False,154.03
ORD-20253600,GS-07,South,2025-11-04 10:15:00,2025-11-04 11:45:00,2025-11-04 11:59:00,2025-11-04 13:05:00,8,8,2,False,123.6
ORD-20257568,GS-05,Central,2025-11-04 10:19:00,2025-11-04 12:19:00,2025-11-04 12:25:00,2025-11-04 12:30:00,25,19,0,False,331.97
ORD-20253943,GS-10,East,2025-11-04 10:21:00,2025-11-04 12:21:00,2025-11-04 12:27:00,2025-11-04 12:51:00,15,15,0,True,245.97
ORD-20250388,GS-07,South,2025-11-04 10:24:00,2025-11-04 11:24:00,2025-11-04 11:32:00,2025-11-04 12:11:00,12,12,0,True,123.73
ORD-20251747,GS-03,North,2025-11-04 10:43:00,2025-11-04 12:13:00,2025-11-04 12:16:00,2025-11-04 13:25:00,20,20,0,True,218.83
ORD-20255152,GS-09,South,2025-11-04 10:47:00,2025-11-04 12:32:00,2025-11-04 12:46:00,2025-11-04 14:06:00,20,18,0,False,287.61
ORD-20257996,GS-11,East,2025-11-04 10:53:00,2025-11-04 12:53:00,2025-11-04 12:58:00,2025-11-04 13:28:00,15,15,0,True,113.3
ORD-20256741,GS-03,North,2025-11-04 11:08:00,2025-11-04 13:08:00,2025-11-04 13:20:00,2025-11-04 13:31:00,5,5,0,True,26.66
ORD-20255933,GS-07,South,2025-11-04 11:18:00,2025-11-04 12:18:00,2025-11-04 12:18:00,2025-11-04 13:43:00,12,11,0,False,208.06
ORD-20254011,GS-08,South,2025-11-04 11:26:00,2025-11-04 12:41:00,2025-11-04 12:53:00,2025-11-04 13:48:00,12,11,0,False,106.38
ORD-20253479,GS-02,North,2025-11-04 11:38:00,2025-11-04 13:08:00,2025-11-04 13:08:00,2025-11-04 13:58:00,12,11,0,False,152.14
ORD-20258052,GS-09,South,2025-11-04 11:49:00,2025-11-04 13:04:00,2025-11-04 13:26:00,2025-11-04 14:10:00,12,11,0,False,59.49
ORD-20256891,GS-04,Central,2025-11-04 11:49:00,2025-11-04 13:19:00,2025-11-04 13:43:00,2025-11-04 14:45:00,15,13,0,False,190.1
ORD-20250814,GS-05,Central,2025-11-04 11:51:00,2025-11-04 12:51:00,2025-11-04 12:55:00,2025-11-04 13:38:00,8,7,0,False,104.19
ORD-20256773,GS-01,North,2025-11-04 11:56:00,2025-11-04 13:41:00,2025-11-04 13:41:00,2025-11-04 14:15:00,12,12,0,True,123.8
ORD-20256187,GS-11,East,2025-11-04 11:56:00,2025-11-04 12:56:00,2025-11-04 13:05:00,2025-11-04 13:59:00,3,3,0,True,45.99
ORD-20254184,GS-10,East,2025-11-04 12:32:00,2025-11-04 14:32:00,2025-11-04 14:36:00,2025-11-04 14:51:00,8,7,0,False,78.39
ORD-20255687,GS-01,North,2025-11-04 12:52:00,2025-11-04 13:52:00,2025-11-04 13:54:00,2025-11-04 14:14:00,5,5,0,True,76.5
ORD-20256383,GS-07,South,2025-11-04 13:07:00,2025-11-04 14:52:00,2025-11-04 14:58:00,2025-11-04 15:25:00,12,12,0,True,82.62
ORD-20250761,GS-03,North,2025-11-04 13:21:00,2025-11-04 15:06:00,2025-11-04 15:06:00,2025-11-04 15:44:00,25,25,0,True,128.93
ORD-20251856,GS-09,South,2025-11-04 15:02:00,2025-11-04 16:32:00,2025-11-04 17:03:00,2025-11-04 17:37:00,8,7,0,False,68.17
ORD-20258311,GS-05,Central,2025-11-04 15:15:00,2025-11-04 17:15:00,2025-11-04 17:17:00,2025-11-04 17:22:00,12,12,0,True,117.89
ORD-20253748,GS-09,South,2025-11-04 15:31:00,2025-11-04 16:46:00,2025-11-04 16:59:00,2025-11-04 17:35:00,12,10,0,False,133.18
ORD-20258455,GS-12,West,2025-11-04 15:43:00,2025-11-04 16:58:00,2025-11-04 17:11:00,2025-11-04 17:25:00,5,5,0,True,28.91
ORD-20256272,GS-11,East,2025-11-04 16:00:00,2025-11-04 17:00:00,2025-11-04 17:00:00,2025-11-04 17:36:00,25,22,0,False,366.07
ORD-20255543,GS-02,North,2025-11-04 16:07:00,2025-11-04 17:22:00,2025-11-04 17:31:00,2025-11-04 18:00:00,15,14,0,False,72.83
